,sq_mt_built,n_rooms,n_bathrooms,buy_price,is_renewal_needed,is_new_development,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking,latitud,longitude
1643,73,1,1,358000,0,0,1,0,0,0,0,0,40.4692669,-3.6890447
1644,51,1,1,128800,0,0,1,0,0,0,0,0,40.4676607,-3.6989938
1646,144,4,3,680000,0,0,1,0,0,1,0,0,40.45204115,-3.711183930612264
1647,64,2,1,295000,0,0,1,0,0,0,0,0,40.45204115,-3.711183930612264
1650,96,3,2,430000,0,0,0,0,0,0,0,1,40.2568354,-3.2414919
1651,63,2,2,160000,1,0,1,0,0,0,0,0,40.4883147,-3.338593
1652,67,1,1,330000,0,0,1,0,0,0,1,1,40.45291,-3.69945
1653,91,4,2,390000,1,0,1,0,0,1,0,0,40.4574708,-3.6968484
1654,103,2,2,522000,0,1,1,0,1,1,0,1,40.4697722,-3.7069717
1655,88,3,2,360000,0,0,0,0,0,1,1,0,40.4531526,-3.6992627
1656,69,2,1,298000,0,0,1,0,0,0,0,0,40.4672175,-3.7074634
1657,30,2,1,125000,0,0,0,0,0,0,0,0,40.4568065,-3.7087584
1658,55,1,1,255000,0,0,1,0,0,0,1,0,40.4510674,-3.7033718
1659,42,1,1,195000,0,0,0,0,0,0,0,0,40.2963848,-3.7428274
1660,117,2,2,630000,1,0,1,0,1,0,1,1,40.4626861,-3.6901744
1662,82,1,1,250000,1,0,1,0,0,1,0,0,40.4642442,-3.7061398
1663,65,1,1,180000,0,0,1,0,0,0,0,0,40.416562,-3.834536
1664,135,2,1,690990,0,0,1,0,1,0,0,0,40.4330914,-3.6880071
1665,88,3,1,245000,0,0,1,0,0,0,1,0,40.4601834,-3.6986337
1666,135,3,2,630000,1,0,1,0,1,0,0,1,40.4630342,-3.6901613
1667,90,1,1,370000,0,0,1,0,0,1,1,0,40.083082,-3.4984669
1668,74,1,1,310000,0,0,1,0,0,1,0,0,40.4659099,-3.7103709
1669,79,3,1,217000,0,0,1,0,0,1,1,0,40.4615507,-3.7054809
1670,40,1,1,165000,0,0,1,0,0,0,0,0,40.4667273,-3.6974554
